Mått;År;Region;Diagnos;Kön;Ålder;Värde
False;1997;6;2;3;2;3
False;1997;6;2;3;3;7
False;1997;6;2;3;4;228
False;1997;7;2;3;2;1
False;1997;7;2;3;3;4
False;1997;7;2;3;4;117
False;1997;8;2;3;2;2
False;1997;8;2;3;3;8
False;1997;8;2;3;4;147
False;1997;9;2;3;3;2
False;1997;9;2;3;4;212
False;1997;10;2;3;2;1
False;1997;10;2;3;3;8
False;1997;10;2;3;4;165
False;1997;12;2;3;1;1
False;1997;12;2;3;2;13
False;1997;12;2;3;3;47
False;1997;12;2;3;4;1027
False;1997;13;2;3;1;1
False;1997;13;2;3;2;1
False;1997;13;2;3;3;8
False;1997;13;2;3;4;222
False;1997;14;2;3;1;1
False;1997;14;2;3;2;14
False;1997;14;2;3;3;61
False;1997;14;2;3;4;885
False;1997;17;2;3;2;2
False;1997;17;2;3;3;9
False;1997;17;2;3;4;1237
False;1997;18;2;3;2;6
False;1997;18;2;3;3;11
False;1997;18;2;3;4;277
False;1997;19;2;3;2;3
False;1997;19;2;3;3;15
False;1997;19;2;3;4;154
False;1997;20;2;3;1;1
False;1997;20;2;3;2;10
False;1997;20;2;3;3;11
False;1997;20;2;3;4;308
False;1997;21;2;3;2;1
False;1997;21;2;3;3;7
False;1997;21;2;3;4;290
False;1997;22;2;3;2;1
False;1997;22;2;3;3;8
False;1997;22;2;3;4;157
False;1997;23;2;3;2;1
False;1997;23;2;3;3;3
False;1997;23;2;3;4;352
False;1997;24;2;3;1;1
False;1997;24;2;3;2;4
False;1997;24;2;3;3;10
False;1997;24;2;3;4;229
False;1997;25;2;3;2;6
False;1997;25;2;3;3;18
False;1997;25;2;3;4;292
False;1997;0;3;3;1;2
False;1997;0;3;3;2;13
False;1997;0;3;3;3;32
False;1997;0;3;3;4;141
False;1997;1;3;3;2;3
False;1997;1;3;3;3;6
False;1997;1;3;3;4;29
False;1997;3;3;3;1;1
False;1997;3;3;3;3;1
False;1997;3;3;3;4;3
False;1997;4;3;3;4;11
False;1997;5;3;3;2;1
False;1997;5;3;3;3;2
False;1997;5;3;3;4;7
False;1997;6;3;3;3;3
False;1997;6;3;3;4;7
False;1997;7;3;3;3;1
False;1997;7;3;3;4;3
False;1997;8;3;3;2;1
False;1997;8;3;3;4;3
False;1997;9;3;3;3;1
False;1997;9;3;3;4;2
False;1997;10;3;3;4;4
False;1997;12;3;3;2;1
False;1997;12;3;3;3;3
False;1997;12;3;3;4;11
False;1997;13;3;3;4;19
False;1997;14;3;3;2;3
False;1997;14;3;3;3;11
False;1997;14;3;3;4;24
False;1997;17;3;3;2;2
False;1997;17;3;3;4;5
False;1997;18;3;3;4;2
False;1997;19;3;3;4;12
False;1997;20;3;3;1;1
False;1997;20;3;3;4;7
False;1997;21;3;3;3;2
False;1997;21;3;3;4;2
False;1997;22;3;3;2;2
False;1997;22;3;3;3;2
False;1997;25;3;3;4;7
False;1998;10;1;3;2;1
False;1998;23;1;3;2;2
False;1998;18;2;3;1;1
False;1998;9;1;3;3;5
False;1998;10;1;3;3;5
False;1998;17;1;3;2;1
False;1998;24;1;3;3;11
False;1998;25;1;3;2;3
False;1998;6;1;3;2;5
False;1998;5;1;3;2;5
False;1998;5;1;3;3;30
False;1998;8;1;3;3;19
False;1998;13;1;3;2;5
False;1998;4;1;3;3;8
False;1998;23;1;3;3;16
False;1998;20;1;3;2;4
False;1998;3;1;3;1;19
False;1998;3;1;3;2;8
False;1998;7;1;3;2;2
False;1998;7;1;3;3;16
False;1998;8;1;3;1;14
False;1998;9;1;3;1;2
False;1998;10;1;3;1;5
False;1998;12;1;3;2;13
False;1998;13;1;3;1;6
False;1998;19;1;3;2;5
False;1998;20;1;3;1;12
False;1998;21;1;3;2;5
False;1998;22;1;3;2;3
False;1998;23;1;3;1;4
False;1998;24;1;3;1;14
False;1998;24;1;3;2;5
False;1998;25;1;3;3;18
False;1998;0;1;3;1;463
False;1998;0;1;3;2;146
False;1998;0;1;3;3;566
False;1998;0;1;3;4;168883
False;1998;1;1;3;1;104
False;1998;1;1;3;2;34
False;1998;1;1;3;3;135
False;1998;1;1;3;4;26851
False;1998;3;1;3;3;13
False;1998;3;1;3;4;10063
False;1998;4;1;3;1;9
False;1998;4;1;3;2;7
False;1998;4;1;3;4;5632
False;1998;5;1;3;1;23
False;1998;5;1;3;4;7460
False;1998;6;1;3;1;20
False;1998;6;1;3;3;16
False;1998;6;1;3;4;6275
False;1998;7;1;3;1;13
False;1998;7;1;3;4;3992
False;1998;8;1;3;2;9
False;1998;8;1;3;4;3425
False;1998;9;1;3;4;4107
False;1998;10;1;3;4;5391
False;1998;12;1;3;1;59
False;1998;12;1;3;3;73
False;1998;12;1;3;4;21698
False;1998;13;1;3;3;12
False;1998;13;1;3;4;5340
False;1998;14;1;3;1;72
False;1998;14;1;3;2;22
False;1998;14;1;3;3;79
False;1998;14;1;3;4;27127
False;1998;17;1;3;1;19
False;1998;17;1;3;3;20
False;1998;17;1;3;4;8901
False;1998;18;1;3;1;21
False;1998;18;1;3;2;7
False;1998;18;1;3;3;23
False;1998;18;1;3;4;5750
False;1998;19;1;3;1;8
False;1998;19;1;3;3;20
False;1998;19;1;3;4;5246
False;1998;20;1;3;3;17
False;1998;20;1;3;4;6035
False;1998;21;1;3;1;12
False;1998;21;1;3;3;22
False;1998;21;1;3;4;7358
False;1998;22;1;3;1;8
False;1998;22;1;3;3;8
False;1998;22;1;3;4;6248
False;1998;23;1;3;4;2941
False;1998;24;1;3;4;5869
False;1998;25;1;3;1;19
False;1998;25;1;3;4;5144
False;1998;3;4;3;1;1
False;1998;6;4;3;1;1
False;1998;17;4;3;1;1
False;1998;24;4;3;1;1
False;1998;5;4;3;1;1
False;1998;7;4;3;1;1
False;1998;19;4;3;1;1
False;1998;21;4;3;1;1
False;1998;4;4;3;3;1
False;1998;1;4;3;1;4
False;1998;1;4;3;2;8
False;1998;3;4;3;2;5
False;1998;3;4;3;3;3
False;1998;4;4;3;2;2
False;1998;4;4;3;4;41
False;1998;6;4;3;2;2
False;1998;6;4;3;3;3
False;1998;6;4;3;4;28
False;1998;7;4;3;2;2
False;1998;7;4;3;3;4
False;1998;7;4;3;4;29
False;1998;8;4;3;1;2
False;1998;8;4;3;2;1
False;1998;9;4;3;2;2
False;1998;9;4;3;3;2
False;1998;9;4;3;4;4
False;1998;10;4;3;1;2
False;1998;12;4;3;2;12
False;1998;13;4;3;1;1
False;1998;13;4;3;2;5
False;1998;13;4;3;3;5
False;1998;13;4;3;4;52
False;1998;17;4;3;3;4
False;1998;18;4;3;2;4
False;1998;18;4;3;3;3
False;1998;19;4;3;2;3
False;1998;19;4;3;3;4
False;1998;19;4;3;4;21
False;1998;20;4;3;2;5
False;1998;20;4;3;3;1
False;1998;21;4;3;2;5
False;1998;23;4;3;2;2
False;1998;24;4;3;2;4
False;1998;25;4;3;1;4
False;1998;8;4;3;3;4
False;1998;22;4;3;4;23
False;1998;24;4;3;3;2
False;1998;14;4;3;2;17
False;1998;23;4;3;3;5
False;1998;5;4;3;2;4
False;1998;17;4;3;2;4
False;1998;17;4;3;4;27
False;1998;20;4;3;1;1
False;1998;20;4;3;4;36
False;1998;0;4;3;1;35
False;1998;0;4;3;2;95
False;1998;0;4;3;3;117
False;1998;0;4;3;4;788
False;1998;1;4;3;3;23
False;1998;1;4;3;4;90
False;1998;3;4;3;4;28
False;1998;5;4;3;3;8
